Model_Name,Brand,weight(ounces),Ratings,Price($),Color
AfterShokz Titanium Open-Ear,Aftershokz, 1.27 ounces ,4022,129.00,Ocean Blue
Tiger-Ear,Kidrox, 6.4 ounces ,2443,,Orange
JBL Endurance Peak II,JBL, 3.63 ounces ,5699,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
Connect+ PRO,LilGadgets, 10.6 ounces ,7978,,Black
Jib w/ Mic,Skullcandy, 0.141 ounces ,258,age 1 of 1  ,Cobalt Blue
HX,Bang & Olufsen, 10.1 ounces ,586,499.00,Black Anthracite
,Beats,,86,378.95,Defiant Black-Red
93969,Sakar, 4 ounces ,1399,14.61,Blue and Pink
Voyager 4320,Plantronics, 1.5 pounds ,305,age 1 of 1,Black
,SleepPhones, 2 ounces ,1083,37.99,Soft Gray - Fleece Fabric
BTH02,IClever, 8.1 ounces ,9434,21.99,Purple
JBL T450BT,JBL, 5 ounces ,1522,29.95,Black
Pro Audio,AKG, 4.3 x 7.48 x 7.87 inches ,10224,age 1 of 1  ,Gold
,," May 1, 2019 ",83760,age 1 of 1,
Language _ tag,TCJJ, 13.7 ounces ,2545,25.63,Pink
SHK2000PK/27,Philips, 1.9 ounces ,433,15.94,Pink
HAENR15P,JVC, 0.32 ounces ,770,19.95,Pink
HASR185A,JVC, 3.84 ounces ,503,age 1 of 1,Blue
AfterShokz Titanium Open Ear,Aftershokz, 1.41 ounces ,10247,129.00,Black
Wired sports headphones,Philips Audio, 0.7 ounces ,218,24.97,Black
BuddyPhones Discover,ONANOFF, 0.63 ounces ,396,13.32,Pink
ATH-AD700X,Audio-Technica, 1.25 pounds ,3867,159.00,Black
Kraken,Razer, 1.3 pounds ,494,age 1 of 1,Hello Kitty & Friends
K702,AKG, 8.2 ounces ,3807,245.03,Black
Galaxy Buds Live,SAMSUNG, 0.023 ounces ,21792,age 1 of 1,Mystic Bronze
Elderly people,FSC, 0.847 ounces ,395,42.29,Black
,Sony, 11.2 ounces ,1116,49.94,Black
Mdr-222Kd/Pin,Sony, 1.83 ounces ,858,age 1 of 1,Pink
Go Work,JLab, 9.6 ounces ,5942,,Black
Indy Evo,Skullcandy, 2.01 ounces ,28640,20.80,Twist Indy Evo pure mint
U8,Otium, 3.84 ounces ,30691,18.75,"C, Blue"
,JVC, 1.4 ounces ,2009,16.28,Black
Lenovo SE-631TWC,Lenovo, ,1788,49.99,Dark Black
IAHG19B,ILive,   ,15,age 1 of 1,Black
Voyager Focus 2,Poly (Plantronics + Polycom), 1.63 pounds ,105,age 1 of 1,Black
Method Active,Skullcandy, 0.6 ounces ,1115,14.94,Black
AS600SG,Aftershokz, 1.41 ounces ,6254,129.00,Gray
,It.innovative technology, 4.8 ounces ,136,,Pink
Rapture Series,Ghostek, 11 ounces ,274,59.98,Black
QuietComfort 25,Bose, 6.9 ounces ,13664,239.99,Black
2019 TWS,Philips Audio, 1.02 ounces ,5005,age 1 of 1,Black
SP1050,Sephia, 0.564 ounces ,5504,14.95,Gold
,JVC, 0.8 ounces ,4805,age 1 of 1,Violet
Disney Princess Kid Friendly Headphones with built in volume limiting feature for saf,EKids, 6.7 ounces ,2099,,Pink
Hesh 3,Skullcandy, 7 ounces ,713,99.99,Gray
HD 400S,Sennheiser Consumer Audio, 7.7 ounces ,1387,74.99,Black
Kids,Philips Audio, 0.004 ounces ,4469,age 1 of 1  ,Purple
NRG MFI,Symphonized, 3.52 ounces ,5251,,Black
HAFX1X,JVC, 0.176 ounces ,11877,29.95,"Black, Red"
Headphones,Altec Lansing, 7.5 ounces ,43,age 1 of 1,Blue
MDRE9LP/BLK,Sony, 0.212 ounces ,13505,7.98,Black
W2,HAPPYAUDIO, 1.44 ounces ,1369,age 1 of 1,"W2,Black"
JBL Quantum 400 - Black,JBL, 9.7 ounces ,2012,77.50,Black
Ink'd Plus Wireless,Skullcandy, 2.7 ounces ,8722,age 1 of 1,Deep Red
Solo3,Beats,,314,228.95,Rose Gold
Galaxy Buds Live,SAMSUNG, 5 ounces ,4034,age 1 of 1,Mystic Black
JBL LIVE 660NC - Blue,JBL, 9.3 ounces ,1242,169.95,Blue
Language _ tag,Lenovo, ,486,age 1 of 1,Black
HAEN10P,JVC, 0.2 ounces ,1396,14.95,Pink
Hearphone,Qisebin, 1.6 ounces ,25,age 1 of 1,Black
,TomTom, 0.64 ounces ,216,age 1 of 1,Black
Language _ tag,Sony, 1.48 pounds ,24,age 1 of 1,Black
Uplift 2,House of Marley, 0.459 ounces ,220,,Signature Black
JBL Quantum 200 - Black,JBL, 8.6 ounces ,1628,59.95,Black
Sony WH-XB910N EXTRA BASS,Sony, 1 pounds ,5951,"ony SRS-XG300 X-Series Wireless Portable-Bluetooth Party-Speaker IP67 Waterproof and Dustproof with 25 Hour-Battery and Retractable Handle, Black- New",Black
Kensington USB Hi-Fi Headphones,Kensington, 4.8 ounces ,656,age 1 of 1  ,Black
MZX701- GRY,Altec Lansing, 0.006 ounces ,204,age 1 of 1,Grey
Language _ tag,Maeline, 1.08 pounds ,612,,Multi
SM-140.EXV6,EKids, 7.2 ounces ,3589,,Minnie Mouse
Panasonic Deep Bass Wireless Bluetooth Immersive Headphones,Panasonic, 1.7 pounds ,139,71.94,Black
DT 177X GO,DROP, 14.6 ounces ,123,325.43,Black
PSWBT550.5,Pyle, 1.44 ounces ,236,age 1 of 1,Black
Massdrop x Koss Porta Pro X,DROP, 2 ounces ,288,38.85,Midnight Blue
Q35,Soundcore, 9.6 ounces ,7637,age 1 of 1,Black
Massdrop x Koss Porta Pro X,DROP, 2 ounces ,288,38.85,Midnight Blue
Q35,Soundcore, 9.6 ounces ,7637,age 1 of 1,Black
Massdrop x Koss Porta Pro X,DROP, 2 ounces ,288,38.85,Midnight Blue
Q35,Soundcore, 9.6 ounces ,7637,age 1 of 1,Black
Massdrop x Koss Porta Pro X,DROP, 2 ounces ,288,38.85,Midnight Blue
Q35,Soundcore, 9.6 ounces ,7637,age 1 of 1,Black
Massdrop x Koss Porta Pro X,DROP, 2 ounces ,288,38.85,Midnight Blue
Q35,Soundcore, 9.6 ounces ,7637,age 1 of 1,Black
EarPods with Lightning Connector,Apple,,190225,16.22,White
MDRZX110/BLK ZX,Sony, 4.8 ounces ,100276,age 1 of 1,Black
T6,TOZO, 0.16 ounces ,238875,18.70,Black
Beats Solo3,Beats,,60505,120.88,Black
Beats Studio3,Beats,,30105,175.99,Matte Black
EarPods with 3.5mm Headphones Plug,Apple,,61219,16.99,White
TUNE 660NC,JBL, 5.9 ounces ,2345,99.95,Black
T10,TOZO, 0.071 ounces ,338470,16.73,Black
Crusher Evo,Skullcandy, 0.01 ounces ,8720,age 1 of 1,True Black
Eduvy Core,Eduvy, 5 ounces ,131,,24-Pack Mixed
,LWZCAM, 3.2 ounces ,3706,age 1 of 1,
Pro-10,OneOdio, 10.6 ounces ,39678,30.39,Black
ADHF-026-BLK,Avantree, 3.88 ounces ,1451,,Black
H4205,Philips Audio, 5.3 ounces ,374,31.03,Blue
NC25,Srhythm, 6.3 ounces ,12995,56.33,Matte Black
QuietComfort 45-Headphones,Bose, 15.5 ounces ,12237,279.00,Black
190319 - HP100,Maxell, 2.4 ounces ,2526,7.99,Black
WHCH710N,Sony, 7.9 ounces ,5695,139.95,Black
JBL Tune 125TWS - Black,JBL, 2.57 ounces ,30608,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
Over Ear HT161K Headphones,Panasonic, 10.2 ounces ,27661,age 1 of 1,Black
H390 USB COMPUTER HEADSET,Logitech, 7 ounces ,47701,age 1 of 1,Black
JZ02,HROEENOI, 9.6 ounces ,3803,33.39,Black
WH1000XM5/B,Sony, 8.8 ounces ,4706,348.00,Black
