Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Reflect Contour,JBL,0.0396875,0.0023092579763381612,34,White
JBL Endurance Peak - Black,JBL,0.21875,0.033314179022986966,49,Black
JBL Live Free NC Black,JBL,0.11875,0.013533325814818992,72,Black
JBLFREEWFHWLKBLKAM,JBL,0.4875,0.00021481469547331733,99,Black
JBL T210,JBL,0.0375,0.0023092579763381612,24,rosegold
JBL UA Streak - Black,JBL,0.17,0.0007160489849110577,139,Black
T10,TOZO,0.0044375,6.059027498071143,16,Black
Earbuds,Jogteg,0.180625,0.08802032147019177,16,Green
778,Gorsun,0.4875,0.10096290687245915,12,Black
True Wireless,JVC,0.2,0.009219130680729869,15,Black
Momentum 3 Wireless - Sandy White,Sennheiser,0.675,0.040152446828887564,499,White
JBuddies Pro,JLab,0.425,0.0036160473738008417,35,Blue
IE 300,Sennheiser,0.0088125,0.006408638414953967,199,Black
5200-UC-B,Global Teck Worldwide,0.22,0.004349997583334676,242,Black
Cystereo Fusion,Cystereo,0.01,0.003061109410494772,39,Black
ESS6001T-Gold,1MORE,0.0875,0.03261603126269868,139,Gold
Beoplay H4,Bang & Olufsen,0.5375,0.01772221237654868,199,Black
Sport2 Wireless,66 Audio,0.61875,0.0015216040929359978,64,Black and Red
Active Sport,Pyle,0.2,0.0029716032873808897,37,Pink
SE-MS7BT-S,PIONEER,0.06875,0.012548758460566287,169,Silver
WRAPSCDEN-V15M,Wraps,unknown,0.0038129608446513825,24,Black
Air Cushion Wireless,JVC,0.2625,0.0010740734773665866,21,Black
AONIC 50,Shure,unknown,0.020658013214684016,699,Brown
11641,TV Ears Inc,0.09875,0.05058886078396623,79,Black
Overhead Headphones,Philips Audio,0.8375,0.008556785369687141,99,Black
Focal Bathys Noise cancelling headphones,Focal,0.1625,0.0007339502095338342,799,Black
B01M19CBG9,Sony,0.04375,0.006050613922498438,24,Gray
ATH-SPORT50BTYL,Audio-Technica,0.3,0.0032938253305908657,18,Yellow
AMPS AIR 2.0,SOL REPUBLIC,0.26875,0.0120833266203741,28,Rose Gold
H2O TRI Multi-Sport,H2O Audio,0.070625,0.0004475306155694111,58,Black
