Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Galaxy Buds Live,SAMSUNG,0.0014375,0.3900855857549214,unknown,Bronze
Elderly people,FSC,0.0529375,0.0070530825013739,42,Black
Mdr-222Kd/Pin,Sony,0.114375,0.0153413495017194,unknown,Pink
Go Work,JLab,0.6,0.1063511754839148,unknown,Black
Indy Evo,Skullcandy,0.125625,0.5126731719716946,20,pure mint
U8,Otium,0.24,0.549388583673009,18,White
Voyager Focus 2,Poly (Plantronics + Polycom),0.101875,0.0018617273607687,unknown,Black
Method Active,Skullcandy,0.0375,0.0199419642297729,14,Black
AS600SG,Aftershokz,0.088125,0.1119363575662211,129,Gray
Rapture Series,Ghostek,0.6875,0.0048870343220179,59,Black
QuietComfort 25,Bose,0.43125,0.2445844320209945,239,Black
2019 TWS,Philips Audio,0.06375,0.0895777280123733,unknown,Black
SP1050,Sephia,0.03525,0.0985104390991387,14,Gold
Disney Princess Kid Friendly Headphones ,EKids,0.41875,0.0375567692585849,unknown,Pink
Hesh 3,Skullcandy,0.4375,0.0127456719314168,99,Gray
HD 400S,Sennheiser,0.48125,0.0248110973271681,74,Black
Kids,Philips Audio,0.00025,0.0799826716145651,unknown,Purple
NRG MFI,Symphonized,0.22,0.0939814292695763,unknown,Black
HAFX1X,JVC,0.011,0.212594943620093,29,Black
Headphones,Altec Lansing,0.46875,0.0007518514341566,unknown,Blue
MDRE9LP/BLK,Sony,0.01325,0.2417381373059731,7,Black
W2,HAPPYAUDIO,0.09,0.0244888752839581,unknown,W2
JBL Quantum 400 - Black,JBL,0.60625,0.0359993627164034,77,Black
Ink'd Plus Wireless,Skullcandy,0.16875,0.1561165799352333,unknown,Deep Red
Galaxy Buds Live,SAMSUNG,0.3125,0.0721956389036574,unknown,Black
JBL LIVE 660NC - Blue,JBL,0.58125,0.0222154197568655,169,Blue
HAEN10P,JVC,0.0125,0.0249722083487731,14,Pink
Hearphone,Qisebin,0.1,0.0004296293909466,unknown,Black
Uplift 2,House of Marley,0.0286875,0.003920368192388,unknown, Black
JBL Quantum 200 - Black,JBL,0.5375,0.0291252924612572,59,Black
Sony WH-XB910N EXTRA BASS,Sony,0.0625,0.1065122865055198,unknown,Black
Kensington USB Hi-Fi Headphones,Kensington,0.3,0.0117253021279185,unknown,Black
MZX701- GRY,Altec Lansing,0.000375,0.0036339485984236,unknown,Grey
SM-140.EXV6,EKids,0.45,0.0642295939465218,unknown,Green
Panasonic Deep Bass Wireless Bluetooth Immersive Headphones,Panasonic,0.10625,0.0024703689979431,71,Black
DT 177X GO,DROP,0.9125,0.0021839494039787,325,Black
PSWBT550.5,Pyle,0.09,0.0042067877863524,unknown,Black
Massdrop x Koss Porta Pro X,DROP,0.125,0.0051376514667368,38,MidBlue
Q35,Soundcore,0.6,0.1366937512195209,unknown,Black
MDRZX110/BLK ZX,Sony,0.3,1.795045299048908,unknown,Black
T6,TOZO,0.01,4.2761371305411,18,Black
TUNE 660NC,JBL,0.36875,0.0419604705157879,99,Black
T10,TOZO,0.0044375,6.05900959684652,16,Black
Crusher Evo,Skullcandy,0.000625,0.1560807774859878,unknown,True Black
Pro-10,OneOdio,0.6625,0.7102668893579009,30,Black
H4205,Philips Audio,0.33125,0.0066771567842956,31,Blue
NC25,Srhythm,0.39375,0.2326085127483571,56,Matte Black
QuietComfort 45-Headphones,Bose,0.96875,0.2190393844842925,279,Black
190319 - HP100,Maxell,0.15,0.0452005921725105,7,Black
WHCH710N,Sony,0.49375,0.101929573002089,139,Black
JBL Tune 125TWS - Black,JBL,0.160625,0.5479027820293186,unknown,Black
Over Ear HT161K Headphones,Panasonic,0.6375,0.4951478730659964,unknown,Black
H390 USB COMPUTER HEADSET,Logitech,0.4375,0.8538884145064364,unknown,Black
JZ02,HROEENOI,0.6,0.068060456015796,33,Black
WH1000XM5/B,Sony,0.55,0.0842252618501631,348,Black
LIVE 460NC,JBL,0.4625,0.0649635441560557,unknown,Black
Elite 45h,Jabra,0.35,0.0232357895603638,unknown,Black
AmazonBasics In-ear Headphones with Mic,Amazon Basics,0.0265,0.2412369030165353,8,Black
WH-816,TUINYO,0.7375,0.298914648751121,25,Rose Gold
B01,MIDOLA,0.5625,0.1790301474523872,14,Rose Pink
Headphones 700,Bose,0.55,0.5531299396191693,329,Black
Dime,Skullcandy,0.070625,0.7826952441816545,21,Light Grey/Blue
Wired Headphones,WEIZY,0.0220625,0.1026456219870001,10,White
KPH30iw,Koss,0.35,0.0539542910130482,unknown,Blue
HD 599,Sennheiser,0.55,0.1235363511217802,unknown,Ivory
Vibe 200TWS,JBL,0.105625,0.1781350862212484,unknown,Black
HD 650,Sennheiser,0.56875,0.0459166411574215,365,Titan
earbuds,Jogteg,0.180625,0.0880203214701917,16,Green
Wireless Noise Cancelling Over-the-Ear,Sony,0.08125,1.7901224622776444e-05,139,Black
BE1032,APEKX,0.17,0.4588441895310058,31,Black
Cassette Wireless,Skullcandy,0.325,0.0768857597548248,unknown,Black
MDR-RF985RK,Sony,0.6625,0.0921555043580531,169,Black
HX,Bang & Olufsen,0.63125,0.0104722164043242,298,Gold Tone
Crusher Evo,Skullcandy,0.000625,0.1560807774859878,199,True Black
JBL Vibe 100 TWS Black,JBL,0.10125,0.2110554383025343,unknown,Black
JBL TUNE 510BT,JBL,0.35,0.4465639494397811,unknown,Blue
JBL Quantum 100 - Black,JBL,0.4875,0.2234430857414955,39,Black
JBL LIVE 660NC - White,JBL,0.58125,0.0223228271046022,169,White
JBL Endurance Peak II,JBL,0.226875,0.1022338938206762,unknown,Black
JBL E55BT,JBL,0.5125,0.0208012230116662,89,Black
JBL Quantum 400 - Black,JBL,0.60625,0.0360709676148945,77,Black
JBL Quantum 200 - Black,JBL,0.5375,0.02914319368588,59,Black
JBL TUNE 205BT - Black,JBL,0.036375,0.027782700614549,19,Black
JBL JR 300 - Red,JBL,0.24,0.0306468965541932,unknown,Red
JBL Tune 225TWS,JBL,0.125,0.3730078174647928,unknown,Black
JBL Reflect Aero TWS,JBL,0.73125,0.0020944432808648,99,Black
JBL LIVE 300 - Black,JBL,0.145,0.2066338358207085,79,Black
Quantum ONE,JBL,0.8125,0.0211234450548762,299,Black
Reflect Contour 2.0,JBL,0.0375,0.0017185175637865,29,Black
JBL TUNE 750BTNC - Blue,JBL,0.4875,0.0321685006471292,79,Blue
JBL Quantum 50 – White,JBL,0.047375,0.0439296052242933,unknown,White
205BT,JBL,0.036375,0.0221259136337516,24,Black
Live Pro 2,JBL,0.6,0.0155203617479471,149,Pink
JBL TUNE 220TWS - Green,JBL,0.125625,0.0331172655521364,74,Green
JBL TUNE 120TWS - Yellow,JBL,0.160625,0.0097203649701676,49,Yellow
Reflect Contour,JBL,0.0396875,0.0023092579763381,34,White
JBL Endurance Peak - Black,JBL,0.21875,0.0333141790229869,49,Black
JBL Live Free NC Black,JBL,0.11875,0.0135333258148189,72,Black
JBLFREEWFHWLKBLKAM,JBL,0.4875,0.0002148146954733,99,Black
JBL T210,JBL,0.0375,0.0023092579763381,24,rosegold
JBL UA Streak - Black,JBL,0.17,0.000716048984911,139,Black
T10,TOZO,0.0044375,6.059027498071143,16,Black
WH1000XM5/B,Sony,0.55,0.0842252618501631,unknown,Black
HD 599,Sennheiser,0.55,0.123554252346403,unknown,Ivory
Earbuds,Jogteg,0.180625,0.0880203214701917,16,Green
778,Gorsun,0.4875,0.1009629068724591,12,Black
Evolve2 75,Jabra,0.43125,0.0013246906220854,unknown,Black
True Wireless,JVC,0.2,0.0092191306807298,15,Black
IHome,IHome,0.45625,0.0006444440864199,unknown,Black
Momentum 3 Wireless - Sandy White,Sennheiser,0.675,0.0401524468288875,499,White
Logitech,Logitech,0.3125,0.0266370222386913,unknown,Black
HARX330,JVC,0.75,0.0656079882424756,unknown,Black
JBuddies Pro,JLab,0.425,0.0036160473738008,35,Blue
Galaxy Buds Pro,SAMSUNG,0.075,0.309172050459972,unknown,Black
IE 300,Sennheiser,0.0088125,0.0064086384149539,199,Black
VOYAGER 4310 UC V4310 C USB-CWW,Plantronics,0.26875,0.0093981429269576,unknown,Black
5200-UC-B,Global Teck Worldwide,0.22,0.0043499975833346,242,Black
Cystereo Fusion,Cystereo,0.01,0.0030611094104947,39,Black
ESS6001T-Gold,1MORE,0.0875,0.0326160312626986,139,Gold
Beoplay H4,Bang & Olufsen,0.5375,0.0177222123765486,199,Black
Sport2 Wireless,66 Audio,0.61875,0.0015216040929359,64,Black and Red
ETYER2XR,Etymotic Research,0.41875,0.0093086368038437,unknown,Multicolored
Active Sport,Pyle,0.2,0.0029716032873808,37,Pink
SE-MS7BT-S,PIONEER,0.06875,0.0125487584605662,169,Silver
DE-B50v9M,EKids,0.85625,0.0114746849831997,unknown,Black
JBuds Pro,JLab,0.11,0.169596202076184,unknown,Black
Avengers Youth Headphones,eKids,0.36875,0.0194944336142035,unknown,Black
98968,Power Gear,0.12125,0.0097561674194131,unknown,Black
Air Cushion Wireless,JVC,0.2625,0.0010740734773665,21,Black
Toy Story 4 Headphones,eKids,0.4875,0.0422289888851296,unknown,Black
Trekz,Aftershokz,0.088125,0.0379863986495316,unknown,Pink
Void ELITE Wireless Carbon,Corsair,0.88125,0.2458017152953433,unknown,Carbon
On Ear Headphones,JVC,0.56875,0.0006086416371743,unknown,Black
Runner Pro,Naenka,0.079375,7.160489849110578e-05,unknown,Black
11641,TV Ears Inc,0.09875,0.0505888607839662,79,Black
