Model_Name,Brand,weight(pounds),Ratings,Price($),Color
BlackShark V2 X,Razer,0.61875,0.0003,45,Black
KZ ZS10,KZ,0.05069,0.00338,57,Blue
JBL TUNE 120TWS - Yellow,JBL,0.16062,0.00972,49,Yellow
Sony MDRXB50AP Extra Bass Earbud ,Sony,0.01762,0.07302,25,Blue
AfterShokz Open Ear Wireless Bone,Aftershokz,0.08812,0.09731,129,Red
A3902,Soundcore,0.12,0.01004,23,Black
Uplift,House of Marley,0.08812,0.00292,59,Silver
HAA8T,JVC,0.2,0.00158,18,Red
Wired Chips Adaptable,Outdoor Tech,0.1875,2e-05,47,Black
Swivel,Sony,0.0625,0.01516,64,Black
MM 50iP,Sennheiser,0.20062,0.00904,74,Black
VERTICAL ,Sony,0.16875,0.0014,109,Black
ISOtunes PRO,ISOtunes,0.3125,0.06335,109,Black
Luma,Urbanears,0.03969,0.00038,16,Violet
ATH-GL3WH,Audio-Technica,0.5,0.00122,99,White
Sennheiser SC 60 USB ML,EPOS,0.23375,0.02793,56,Black
A5205,Philips Audio,0.19062,0.00068,35,Black
True Wireless Bluetooth Earphones,Panasonic,0.044,0.01139,97,Grey
RPD-01,Adidas,0.4625,0.00138,69,Grey
TWS  Range 2022,Audio,0.3125,0.00047,22,Black
Bullets TYPE-C,OnePlus,0.28125,0.05965,12,Black
SOUNDFORM Mini,Belkin,0.9,0.05206,26,Blue
RPD-01,adidas,0.4625,0.00138,69,Grey
Sealed Studio Monitor HD661,Superlux,0.41875,0.00267,58,White
Kids,Philips Audio,0.65,0.00303,25,Blue
3DSLH01,Sony,0.14688,0.00061,109,Black
T4506,Philips Audio,0.3,0.00055,72,Teal
MDR - ZX110 NC,Sony,0.55,0.00628,52,Black
199342,Maxell,0.6,0.00029,20,Black
2019 TWS,Philips Audio,0.00012,0.08958,29,Black
JBL Endurance Peak - Black,JBL,0.21875,0.03331,49,Black
MDRAS800AP,Sony,0.02,0.00369,24,Black
C1002,1MORE,0.05,0.00106,61,Black
Relays Sport,SOL REPUBLIC,0.07,0.00066,29,Lime
AS12,erjigo,0.00662,0.00517,37,Black
USB Wired Headset,Yealink,0.11,0.00243,89,Black
ATH-CKS5TWBL,Audio-Technica,0.16625,0.0012,119,Blue
TWS  Range 2022,Audio,0.2625,0.00013,22,White
R190,UrbanX,0.3125,0.00118,46,Purple
WF-1000XM3/S,Sony,0.00881,0.40383,89,Silver
T1XS,FIIL,0.36875,0.02587,59,Black
ER23-HF3-BLACK-I,Etymotic Research,0.25,0.0029,59,Black
MDR-EX100AP/L,Sony,0.0125,0.0107,24,Blue
ATH-WS550,Audio-Technica,0.5625,0.00048,70,Gold
SE215,Shure,0.02425,0.00052,50,White
HP Bluetooth Headset 500,HP,0.48125,0.00057,99,Black
HAET45TP,JVC,0.55,0.00025,76,Pink
TR-V124.EXV0M,Tech2Go,0.1,0.00052,11,Pink
HLT-NHE-BT-P,Lucid Audio,0.13,0.0002,29,White
WF-1000XM4,Sony,0.0625,0.00345,228,Black
T-600,COMPLY,0.044,0.00584,11,Black
MW60S2,MASTER & DYNAMIC,0.1875,0.00448,449,Silver
Beoplay E8 Sport,Bang & Olufsen,0.725,0.00816,299,Black
H-3,PHOINIKAS,0.76875,0.14233,31,Yellow
RUN XT,Jaybird,0.56875,0.0019,74,Grey
HAFX9BTW,JVC,0.13,0.0019,15,White
MDR1RNC,Sony,0.0625,0.00199,319,Black
AU-Flex ANC,ausounds,0.22,0.00104,99,Black
HAAE5TB,JVC,0.48125,0.00029,27,Black
AfterShokz Trekz ,Aftershokz,0.07,0.08136,129,Grey
Tx-500,COMPLY,0.00438,0.03632,9,Black
Ultrasone IQ ,Ultrasone,0.01875,4e-05,949,Silver
SHE2105WT/28,Philips,0.035,0.00763,19,White
