Model_Name,Brand,weight(pounds),Ratings,Price($),Color
KPH30iw,Koss,0.35,0.0539542910130482,unknown,Blue
HD 599,Sennheiser,0.55,0.12353635112178024,unknown,Ivory
Beats Flex,Beats,unknown,0.8221137408010082,46,Beats Black
Vibe 200TWS,JBL,0.105625,0.1781350862212484,unknown,Black
HD 650,Sennheiser,0.56875,0.04591664115742158,365,Titan
earbuds,Jogteg,0.180625,0.08802032147019177,16,Green
Wireless Noise Cancelling Over-the-Ear,Sony,0.08125,1.7901224622776444e-05,139,Black
BE1032,APEKX,0.17,0.4588441895310058,31,Black
Cassette Wireless,Skullcandy,0.325,0.07688575975482483,unknown,Black
MDR-RF985RK,Sony,0.6625,0.09215550435805313,169,Black
HX,Bang & Olufsen,0.63125,0.01047221640432422,298,Gold Tone
Beats Solo3,Beats,unknown,1.0830419909025977,120,Black
Crusher Evo,Skullcandy,0.000625,0.1560807774859878,199,True Black
JBL Vibe 100 TWS Black,JBL,0.10125,0.2110554383025343,unknown,Black
JBL TUNE 510BT,JBL,0.35,0.44656394943978117,unknown,Blue
JBL Quantum 100 - Black,JBL,0.4875,0.22344308574149557,39,Black
JBL LIVE 660NC - White,JBL,0.58125,0.022322827104602226,169,White
JBL Endurance Peak II,JBL,0.226875,0.10223389382067627,unknown,Black
JBL E55BT,JBL,0.5125,0.020801223011666228,89,Black
JBL Quantum 400 - Black,JBL,0.60625,0.036070967614894534,77,Black
JBL Quantum 200 - Black,JBL,0.5375,0.029143193685880052,59,Black
JBL TUNE 205BT - Black,JBL,0.036375,0.02778270061454904,19,Black
JBL JR 300 - Red,JBL,0.24,0.03064689655419327,unknown,Red
JBL Tune 225TWS,JBL,0.125,0.3730078174647928,unknown,Black
JBL Reflect Aero TWS,JBL,0.73125,0.002094443280864844,99,Black
JBL LIVE 300 - Black,JBL,0.145,0.2066338358207085,79,Black
Quantum ONE,JBL,0.8125,0.021123445054876205,299,Black
JBL Clip 4,JBL,unknown,0.3637886867840629,129,Blue and Red
Reflect Contour 2.0,JBL,0.0375,0.0017185175637865386,29,Black
Flip 5,JBL,unknown,1.1664258951954902,229,Green and Blue
JBL TUNE 750BTNC - Blue,JBL,0.4875,0.03216850064712927,79,Blue
JBL Quantum 50 – White,JBL,0.047375,0.04392960522429339,unknown,White
205BT,JBL,0.036375,0.022125913633751684,24,Black
Live Pro 2,JBL,0.6,0.015520361747947176,149,Pink
JBL TUNE 220TWS - Green,JBL,0.125625,0.03311726555213642,74,Green
Tune 510BT,JBL,unknown,0.8432908895297527,164,Blue/Squad Camo
JBL TUNE 120TWS - Yellow,JBL,0.160625,0.00972036497016761,49,Yellow
Reflect Contour,JBL,0.0396875,0.0023092579763381612,34,White
JBL Endurance Peak - Black,JBL,0.21875,0.033314179022986966,49,Black
JBL Live Free NC Black,JBL,0.11875,0.013533325814818992,72,Black
JBLFREEWFHWLKBLKAM,JBL,0.4875,0.00021481469547331733,99,Black
JBL T210,JBL,0.0375,0.0023092579763381612,24,rosegold
JBL UA Streak - Black,JBL,0.17,0.0007160489849110577,139,Black
T10,TOZO,0.0044375,6.059027498071143,16,Black
WH1000XM5/B,Sony,0.55,0.08422526185016317,unknown,Black
HD 599,Sennheiser,0.55,0.12355425234640302,unknown,Ivory
Earbuds,Jogteg,0.180625,0.08802032147019177,16,Green
778,Gorsun,0.4875,0.10096290687245915,12,Black
Evolve2 75,Jabra,0.43125,0.0013246906220854568,unknown,Black
True Wireless,JVC,0.2,0.009219130680729869,15,Black
IHome,IHome,0.45625,0.000644444086419952,unknown,Black
